epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.6862,1.31629,2.28766,1.40208,0.0069,0.99315,0.62159,0.30092,1.49035,2.73839,1.47398,0.00048,0.00048,0.07648
2,123.886,1.3172,1.47398,1.34525,0.84356,0.60854,0.86849,0.45781,1.5177,2.07034,1.64212,0.000957217,0.000957217,0.0519572
3,181.101,1.27836,1.24019,1.34576,0.78066,0.77348,0.87593,0.46221,1.49002,1.48554,1.71414,0.00134574,0.00134574,0.0273457
4,257.205,1.25578,1.19528,1.33928,0.79911,0.91301,0.90566,0.56087,1.21184,1.10364,1.37077,0.00159231,0.00159231,0.00259231
5,327.316,1.18963,1.05139,1.28578,0.88917,0.95744,0.96527,0.58304,1.3232,1.05141,1.40708,0.00134357,0.00134357,0.00134357
6,402.545,1.14926,1.01151,1.2781,0.8928,0.97292,0.95279,0.62962,1.18478,0.88679,1.24913,0.00105,0.00105,0.00105
7,482.26,1.11284,0.97363,1.24438,0.97356,0.99315,0.98745,0.63441,1.31284,0.73446,1.28478,0.000756434,0.000756434,0.000756434
8,553.948,1.04005,0.89633,1.19321,0.98979,0.99211,0.98747,0.66546,1.21851,0.74694,1.20016,0.000491604,0.000491604,0.000491604
9,638.569,0.82446,0.78553,1.08603,0.99086,0.99315,0.98832,0.69359,1.07846,0.65517,1.14063,0.000281434,0.000281434,0.000281434
10,702.413,0.78282,0.68496,1.05188,0.97356,0.9744,0.96597,0.67871,1.05426,0.6502,1.11406,0.000146496,0.000146496,0.000146496
